"Blodpudding ca 10% fett;100;2;847;203;17,3;9;0,1;0;17;17;400"
"Blomk†l;100;2,4;118;28;3,9;0,2;0;73;0,36;17;7"
"Blomk†l fryst;100;1,9;99;24;2,3;0,3;0;49;0,5;22;9"
"Blomk†l gratinerad;100;1,4;298;71;5;3,9;0,06;20;0,34;68;195"
"Blomk†l kokt utan salt;100;2,3;114;27;3,7;0,2;0;32;0,35;17;7"
"Blomk†lssoppa pulver tillagad m vatten mj”lk;100;0,3;213;51;5,9;2,2;0;0;0,11;33;374"
"Blomk†lsstuvning;100;1,5;239;57;5,9;2,3;0,01;19;0,27;55;138"
"Bl†b„r;100;3,1;221;53;9,1;0,8;0;5;0,6;23;3"
"Bl†b„r frysta;100;3,1;181;43;7,6;0,5;0;5;0,6;20;3"
"Bl†b„r sockrade frysta;100;3,1;346;83;18,3;0,1;0;1;0,4;6;3"
"Bl†b„r torkade;100;10;1ÿ382;330;69,8;1;0;3;4,8;140;16"
"Bl†b„rssoppa;100;1;167;40;8,6;0,2;0;1;0,19;10;2"
"Bl†b„rssoppa past”riserad berik;100;0,3;193;46;10,9;0;0;25;0,1;5;6"
"Bl†b„rssylt;100;1,5;620;148;34,9;0,3;0;0;0,3;13;50"
"Bl„ckfisk;100;0;312;75;0;0,9;1,3;0;0,5;12;365"
"Bog gris;100;0;574;137;0;7;0,57;0;1,5;7;44"
"Bog m„rgpipa n”t;100;0;494;118;0;3,7;0,6;0;2,3;6;69"
"Bogbladsstek gris r†;100;0;574;137;0;7;0,57;0;1,5;7;65"
"Bogfl„sk stekt gris;100;0;828;198;0;10,1;0,82;0;2,17;11;206"
"Bondb”nor;100;4,2;279;67;7,5;0,6;0;33;1,9;22;5"
"Bondb”nor torkade;100;16,4;1ÿ331;318;41,9;1,7;0;0;7,1;102;13"
"Bondomelett;100;0,6;446;107;8;4,1;0,49;3;0,97;25;469"
"Bordsmargarin Becel Gold fett 70% berikad ;100;0;2ÿ597;621;0;70;10;0;0;0;500"
"Bordsmargarin Bregott fett 75% berikad ;100;0;2ÿ792;667;0,5;75;7,5;0;0,2;18;470"
"Bordsmargarin Bregott havssaltat fett 80% berikad ;100;0;2ÿ977;712;0,5;80;7,5;0;0,2;18;2ÿ000"
"Bordsmargarin Bregott mellan fett 60% berikad ;100;0;2ÿ271;543;2;60;7,5;0;0,2;18;395"
"Bordsmargarin Carlshamn L„ttL„tt fett 30% berikad ;100;0;1ÿ249;299;8;30;7,5;0;0;0;600"
"Bordsmargarin Carlshamn Mj”lkfritt fett 80% berikad ;100;0;2ÿ960;707;0;80;7,5;0;0;0;400"
"Bordsmargarin Carlshamn Runda Bords fett 60% berikad ;100;0;2ÿ246;537;1,2;60;7,5;0;0;0;600"
"Bordsmargarin Milda extrasaltat fett 70% berikad ;100;0;2ÿ602;622;0,4;70;10;0;0;0;600"
"Bordsmargarin Milda normalsaltat fett 70% berikad ;100;0;2ÿ602;622;0,4;70;10;0;0;0;500"
"Bostongurka;100;1,8;328;79;16,6;0,4;0;0;0,1;3;600"
"Bovete hela el krossade korn;100;5,8;1ÿ419;339;65,3;2;0;0;3,8;18;1"
"Bovetegr”t;100;1,1;268;64;13,1;0,3;0;0;0,68;8;119"
"Bovetemj”l ljust;100;1,9;1ÿ493;357;76;2;0;0;2,1;8;1"
"Braxen;100;0;432;103;0;4;5,5;0;0,4;63;43"
"Brieost vitm”gelost 28% fett;100;0;1ÿ381;330;0,5;28;0,19;0;0,2;600;880"
"Brieost vitm”gelost 34% fett;100;0;1ÿ582;378;2,1;34;0,63;0;0,26;466;445"
"Broccoli;100;3,1;147;35;3,1;0,3;0;83;0,66;62;4"
"Broccoli fryst;100;2,7;121;29;1,8;0,3;0;72;0,7;41;7"
"Broccoligrat„ng mj”lk kaffegr„dde ost „gg hemlagad;100;1,7;417;100;3,4;6,5;0,35;15;0,49;95;272"
"Broccolil†da r”kt skinka h†rdost;100;0,5;665;159;2,9;10,3;0,46;6;0,68;223;455"
"Brun farin;100;0;1ÿ624;388;95,5;0;0;0;7,2;185;55"
"Bruna b”nor kokta;100;6,4;613;146;23,2;0,6;0;0;1,97;54;351"
"Bruna b”nor konserv;100;4,7;413;99;15,7;0,9;0;0;3,2;23;235"
"Bruna b”nor torkade;100;16,4;1ÿ327;317;45,1;1,5;0;0;5;135;25"
"Brunk†l;100;2,6;208;50;8,4;0,2;0;12;0,65;62;579"
"Bruns†s buljong;100;0,1;305;73;3,4;5,8;0;0;1,4;7;454"
"Bruns†s kaffegr„dde;100;0,1;334;80;3,8;6,4;0,01;2;0,77;15;619"
"Bruns†s med mj”lk;100;0,1;405;97;5,8;7,1;0,01;0;0,15;61;372"
"Bruns†s pulver tillagad m mj”lk vatten;100;0,1;235;56;7,1;2;0;0;0,1;48;555"
"Bruns†s vatten buljongt„rning;100;0,1;411;98;3,4;9;0,02;0;0,15;12;669"
"Bryggt kaffe espresso drickf;100;0;37;9;1,7;0,2;0;0;0,13;2;14"
"Bryl‚pudding;100;0;611;146;21;4,4;0,37;0;0,51;84;59"
"Brysselk†l;100;4,2;182;44;4,7;0,3;0;85;1,4;42;7"
"Brysselk†l fryst;100;4,5;173;41;3,4;0,4;0;74;0,9;26;10"
"Br„nnvin renat el vodka 40 vol. %;100;0;928;222;0;0;0;0;0;0;0"
"Br”stmj”lk humanmj”lk 4,6% fett;100;0;315;75;7,2;4,6;0,1;4;0,07;34;15"
"Bulgur;100;7,7;1ÿ479;353;68,2;1,3;0;0;2,46;35;17"
"Bulgur kokt;100;2,9;565;135;26,1;0,5;0;0;0,94;14;82"
"B„rt†rta gr„dde vaniljkr„m sylt gele;100;3,3;1ÿ023;245;31,4;11,1;0,1;2;0,51;51;84"
"B”ckling fil‚ dubbel varmr”kt Rospigg;100;0;1ÿ093;261;0;20,8;19,1;0;1,18;34;583"
"B”ckling varmr”kt;100;0;834;199;0;12,8;9,6;0;1,18;38;845"
"B”cklingl†da m „ggstanning;100;0,1;692;165;2,1;10,3;6,1;0;1,08;70;752"
"B”cklingpastej;100;0;1ÿ521;364;9;31;1,5;0;1;43;2ÿ000"
"Caf‚ de Paris s†s fett 39% Spisa Rydbergs;100;0;1ÿ419;339;7;34,4;0;0;0,36;47;713"
"Camembert vitm”gelost 23% fett;100;0;1ÿ198;286;0;22,5;0,16;0;0,2;720;1ÿ300"
"Camembert vitm”gelost friterad;100;0,5;1ÿ381;330;11,5;22,9;0,69;0;0,71;534;984"
"Camembert vitm”gelost l„tt 11% fett;100;0;774;185;0,2;11;0,12;0;0,2;187;1ÿ297"
"Carbonara;100;0;1ÿ475;352;1,4;25,8;1,07;0;2;356;1ÿ152"
"Cashewn”tter;100;6;2ÿ469;590;25,9;46,5;0;0;6;45;16"
"Champinjoncrˆpe (crˆpe 63 % fyllning 37 %) fryst v„rmd;100;2;681;163;19;6,8;0,26;0;0,61;56;375"
"Champinjoncrˆpe mellanmj”lk mj”lk vispgr„dde (crˆpe 56% fyllning 44 %) hemlagad;100;0,8;695;166;12,4;9,9;0,88;0;0,59;87;398"
"Champinjoner;100;1,3;111;26;2,9;0,2;0;5;0,33;3;5"
"Champinjoner konserv m lag;100;1,5;63;15;0,9;0,1;0;2;0,5;6;400"
"Champinjoner konserv u lag;100;2,4;109;26;2,7;0,3;0;2;0,8;18;420"
"Champinjoner skivade frysta;100;2;78;19;0,8;0,4;0;10;0,3;12;15"
"Champinjoner stekta;100;1,9;299;71;5,6;3,6;0;4;0,53;16;448"
"Champinjoner stekta utan fett;100;2;170;41;4,5;0,4;0;3;0,51;4;8"
"Champinjonsoppa pulver tillagad m vatten mj”lk;100;0,2;236;56;6,5;2,6;0;0;0,26;34;392"
"Champinjonsoppa redd konserv tillagad m mj”lk;100;0,2;269;64;5,5;3,7;0;0;0,15;557;399"
"Champinjonstuvning;100;0,7;514;123;8,6;8;0,01;0;0,24;77;324"
"Champinjons†s;100;0,8;525;126;7,3;8,8;0,02;1;0,27;83;340"
"Champinjons†s pulver tillagad m mj”lk sm”r;100;0,8;474;113;7,6;7,5;0,14;0;0,15;74;469"
"Cheese crackers ostkex;100;4,1;2ÿ060;492;54,1;25,3;0,02;0;0,93;122;995"
"Cheesecake el ostkaka m botten av digestivekex;100;0,2;1ÿ283;307;20,8;22,8;0,25;3;0,4;61;223"
"Cherimoya;100;2,4;415;99;21,1;0,4;0;9;0,5;23;1"
"Chili con carne;100;3;478;114;7,9;4,9;0,12;15;1,43;33;274"
"Chilipeppar f„rsk;100;0;198;47;9,2;0,2;0;240;1,2;18;7"
"Chilis†s s”t;100;1,1;500;120;26,6;0,4;0;10;1,14;12;757"
"Chilis†s tomat;100;1,2;338;81;16,7;0,5;0;15;1,3;13;860"
"Chips light 25% fett;100;3,8;2ÿ070;495;63;24,3;0;6;1,03;19;407"
"Chips smaksatta 34% fett;100;5,7;2ÿ202;526;51,3;32,2;0;12;1,15;26;542"
"Choklad o chokladpraliner;100;0,6;2ÿ290;547;53,7;33,7;0;0;2,1;290;74"
"Choklad u tillsatt socker;100;0,4;2ÿ414;577;46,9;39;0;0;2,2;134;64"
"Chokladbiskvi mandelbotten sm”rkr„m choklad;100;5,7;2ÿ065;494;50,9;28,6;1,17;0;2,01;31;109"
"Chokladboll;100;4,7;2ÿ109;504;49,6;31,2;0,52;0;4,9;22;135"
"Chokladboll med kokos;100;0,4;1ÿ722;412;52,6;20;0;0;1,4;81;146"
"Chokladbollar;100;5,1;1ÿ775;424;51;20,6;0,12;0;2,46;30;104"
"Chokladdryck l„ttmj”lk;100;0,5;273;65;10,6;0,8;0,35;0;0,19;112;40"
"Chokladdryck mellanmj”lk;100;0,5;306;73;10,5;1,7;0,35;0;0,19;110;39"
"Chokladdryck mj”lk;100;0,5;354;85;10,4;3,1;0,02;0;0,19;109;39"
"Chokladdryck Pucko;100;0,5;286;68;9,8;1,5;0;0;0,4;110;70"
"Chokladdryck p† vatten;100;1,1;241;58;6,8;2,6;0,01;0;0,36;23;9"
"Chokladkaka;100;2,3;1ÿ527;365;41,8;18,8;2,09;0;1,08;154;257"
"Chokladkakor glutenfritt Semper;100;2,1;2ÿ102;502;66,8;25,1;2,03;0;0,7;24;433"
"Chokladkola m”rk m choklad”verdrag Riesen;100;0;1ÿ967;470;71,7;18,2;0,1;0;3,44;72;67"
"Chokladmj”lk m banan;100;1,2;393;94;13,9;2,6;0,01;2;0,39;79;40"
"Chokladmousse;100;0;1ÿ617;386;24,4;30,8;0,28;0;1,31;56;17"
"Chokladpraliner;100;0,4;2ÿ261;540;53,3;33,5;0;0;1,6;97;31"
"Chokladpudding;100;1,2;545;130;20,5;3,3;0,02;0;0,39;106;38"
"Chokladpudding m vispad gr„dde;100;0,9;734;175;17,3;10,1;0,07;0;0,33;100;35"
"Chokladrutor m glasyr o riven kokos;100;1,8;1ÿ682;402;53,8;18,5;1,86;0;0,61;111;215"
"Choklads†s;100;6,5;1ÿ049;251;45,1;4,1;0;0;2,12;23;103"
"Chokladt†rta aprikossylt choklad”verdrag Sachert†rta;100;3;1ÿ852;443;46,8;25,3;0,2;0;2,05;28;231"
"Chokladt†rta sachert†rta;100;0,3;1ÿ913;457;48,2;26,9;0,33;1;1,56;60;183"
"Chop Suey fl„skfil‚ gris restaurang;100;1,6;400;96;3,1;5,7;0,1;1;0,51;13;488"
"Chorizo fett 9% M† gott;100;1,2;669;160;4,8;9;0;31;1,02;8;600"
"Chorizo korv stekt;100;0;1ÿ195;286;4,1;23,8;0,5;0;1,3;19;1ÿ076"
"Ciabatta m mozzarella soltorkad tomat sallad;100;2,5;799;191;25,1;5,9;0,1;0;0,86;75;397"
"Cider 1 vol. %;100;0;195;47;10,1;0;0;0;0,2;9;7"
"Citron;100;2;170;41;7,3;0,3;0;53;0,1;26;2"
"Citronfromage;100;0;723;173;16,2;11;0,08;0;0;18;8"
"Citronjuice f„rskpressad;100;0;148;35;8,3;0;0;46;0,4;7;1"
"Citronjuice konc konserv;100;0,1;134;32;6,8;0,3;0;25;0,1;11;21"
"Citronskal;100;3,7;269;64;11,9;0,3;0;129;0,8;134;6"
